time,original,filtered,fitted
0.398,1.35973,1.53449,2.49585
0.399,1.5177,1.52995,2.49591
0.4,1.70605,1.57753,2.49597
0.401,1.67039,1.60261,2.49604
0.402,1.27889,1.51516,2.4961
0.403,1.45425,1.4987,2.49617
0.404,1.98845,1.63101,2.49623
0.405,1.68967,1.64686,2.49629
0.406,1.67434,1.65428,2.49636
0.407,1.42082,1.59121,2.49642
0.408,1.65414,1.60821,2.49648
0.409,1.26101,1.51441,2.49655
0.41,1.95845,1.63437,2.49661
0.411,1.32657,1.55122,2.49668
0.412,1.429,1.5182,2.49674
0.413,1.17875,1.42649,2.4968
0.414,1.5395,1.45702,2.49687
0.415,1.40188,1.44213,2.49693
0.416,1.72791,1.51933,2.49699
0.417,1.28725,1.45663,2.49706
0.418,1.54138,1.47953,2.49712
0.419,1.21348,1.40765,2.49719
0.42,1.16627,1.34244,2.49725
0.421,1.59199,1.40986,2.49731
0.422,1.72304,1.49447,2.49738
0.423,1.42859,1.47667,2.49744
0.424,1.53225,1.49168,2.49751
0.425,1.19208,1.41074,2.49757
0.426,1.75638,1.50412,2.49763
0.427,1.67419,1.55007,2.4977
0.428,1.12569,1.43542,2.49776
0.429,1.63067,1.48817,2.49782
0.43,1.17285,1.40298,2.49789
0.431,1.44988,1.41565,2.49795
0.432,1.23559,1.36701,2.49802
0.433,1.29033,1.34629,2.49808
0.434,1.72541,1.44871,2.49814
0.435,1.47625,1.45615,2.49821
0.436,1.5246,1.47464,2.49827
0.437,1.48379,1.47712,2.49833
0.438,1.76815,1.55574,2.4984
0.439,1.37471,1.50683,2.49846
0.44,1.41492,1.482,2.49853
0.441,1.51713,1.49149,2.49859
0.442,1.31803,1.44463,2.49865
0.443,1.49025,1.45695,2.49872
0.444,1.75444,1.53732,2.49878
0.445,1.16874,1.43775,2.49884
0.446,1.68047,1.50332,2.49891
0.447,1.32147,1.45419,2.49897
0.448,1.34003,1.42335,2.49904
0.449,1.12095,1.34165,2.4991
0.45,1.36827,1.34884,2.49916
0.451,1.24234,1.32007,2.49923
0.452,1.41681,1.34621,2.49929
0.453,1.91515,1.49991,2.49936
0.454,1.12854,1.39958,2.49942
0.455,1.42012,1.40513,2.49948
0.456,1.06288,1.31267,2.49955
0.457,1.58178,1.38537,2.49961
0.458,1.614,1.44714,2.49967
0.459,1.31104,1.41037,2.49974
0.46,1.47252,1.42716,2.4998
0.461,1.54544,1.45911,2.49987
0.462,1.58862,1.4941,2.49993
0.463,1.13416,1.39686,2.49999
0.464,1.31062,1.37356,2.50006
0.465,1.59848,1.43432,2.50012
0.466,1.7016,1.50653,2.50018
0.467,1.6292,1.53967,2.50025
0.468,1.17601,1.44143,2.50031
0.469,1.43198,1.43887,2.50038
0.47,1.57368,1.47529,2.50044
0.471,1.43116,1.46337,2.5005
0.472,1.37376,1.43916,2.50057
0.473,1.01658,1.325,2.50063
0.474,1.3562,1.33343,2.50069
0.475,1.43204,1.36007,2.50076
0.476,1.28075,1.33864,2.50082
0.477,1.49181,1.38002,2.50089
0.478,1.3987,1.38507,2.50095
0.479,1.32423,1.36863,2.50101
0.48,1.24263,1.33459,2.50108
0.481,1.2827,1.32057,2.50114
0.482,1.72812,1.43067,2.50121
0.483,1.26185,1.38507,2.50127
0.484,1.79737,1.49645,2.50133
0.485,1.77047,1.57048,2.5014
0.486,1.09385,1.44172,2.50146
0.487,1.48829,1.4543,2.50152
0.488,1.13087,1.36692,2.50159
0.489,1.16765,1.31309,2.50165
0.49,1.11443,1.25942,2.50172
0.491,1.33007,1.27851,2.50178
0.492,1.23141,1.26578,2.50184
0.493,1.50966,1.33167,2.50191
0.494,1.43734,1.36022,2.50197
0.495,1.43437,1.38025,2.50203
0.496,1.1482,1.31756,2.5021
0.497,1.33731,1.32289,2.50216
0.498,1.469,1.36237,2.50223
0.499,1.45169,1.3865,2.50229
0.5,1.10868,1.31144,2.50235
0.501,1.23316,1.2903,2.50242
0.502,1.81407,1.4318,2.50248
0.503,1.78074,1.52607,2.50254
0.504,1.34892,1.47821,2.50261
0.505,1.07776,1.37003,2.50267
0.506,1.39723,1.37738,2.50274
0.507,1.76208,1.48131,2.5028
0.508,1.45165,1.4733,2.50286
0.509,1.65035,1.52113,2.50293
0.51,1.70912,1.57191,2.50299
0.511,0.813547,1.36704,2.50306
0.512,1.34531,1.36117,2.50312
0.513,0.848472,1.22266,2.50318
0.514,1.16084,1.20596,2.50325
0.515,0.996961,1.1495,2.50331
0.516,1.51577,1.24845,2.50337
0.517,1.04962,1.19473,2.50344
0.518,1.13355,1.17821,2.5035
0.519,0.970538,1.1221,2.50357
0.52,1.42699,1.20447,2.50363
0.521,1.60039,1.31143,2.50369
0.522,1.00066,1.22747,2.50376
0.523,1.32712,1.25439,2.50382
0.524,1.28928,1.26382,2.50388
0.525,1.13397,1.22874,2.50395
0.526,0.74294,1.0975,2.50401
0.527,1.73983,1.27103,2.50408
0.528,1.50831,1.33513,2.50414
0.529,1.21928,1.30383,2.5042
0.53,1.26952,1.29456,2.50427
0.531,1.67006,1.39601,2.50433
0.532,1.14789,1.32898,2.50439
0.533,0.763292,1.17615,2.50446
0.534,1.59884,1.29034,2.50452
0.535,0.947275,1.19766,2.50459
0.536,1.10668,1.17308,2.50465
0.537,0.892601,1.09731,2.50471
0.538,1.21482,1.12906,2.50478
0.539,1.29015,1.17258,2.50484
0.54,0.969833,1.1178,2.50491
0.541,1.37233,1.18656,2.50497
0.542,1.62215,1.30424,2.50503
0.543,1.42335,1.33642,2.5051
0.544,1.31027,1.32935,2.50516
0.545,1.09394,1.26575,2.50522
0.546,1.55655,1.34431,2.50529
0.547,1.18291,1.30071,2.50535
0.548,1.16108,1.26299,2.50542
0.549,1.05068,1.20563,2.50548
0.55,1.5971,1.31139,2.50554
0.551,1.25795,1.29695,2.50561
0.552,1.40564,1.32631,2.50567
0.553,1.2315,1.3007,2.50573
0.554,1.40888,1.32992,2.5058
0.555,0.607242,1.13469,2.50586
0.556,0.903605,1.07226,2.50593
0.557,1.09698,1.07894,2.50599
0.558,0.791785,1.00136,2.50605
0.559,1.31283,1.08551,2.50612
0.56,1.232,1.12508,2.50618
0.561,1.13568,1.12795,2.50624
0.562,1.12762,1.12786,2.50631
0.563,1.26078,1.16377,2.50637
0.564,1.04511,1.13171,2.50644
0.565,0.733837,1.02422,2.5065
0.566,0.743738,0.948449,2.50656
0.567,0.903196,0.936223,2.50663
0.568,0.728847,0.880199,2.50669
0.569,0.884579,0.881383,2.50676
0.57,1.68225,1.09774,2.50682
0.571,1.50271,1.20715,2.50688
0.572,0.951014,1.13795,2.50695
0.573,1.16052,1.14405,2.50701
0.574,1.51255,1.2436,2.50707
0.575,1.51307,1.3164,2.50714
0.576,1.16333,1.27505,2.5072
0.577,1.5632,1.35289,2.50727
0.578,0.98448,1.25336,2.50733
0.579,1.22375,1.24536,2.50739
0.58,1.48957,1.31134,2.50746
0.581,1.39168,1.33304,2.50752
0.582,1.20718,1.29904,2.50758
0.583,1.36218,1.3161,2.50765
0.584,1.13753,1.26786,2.50771
0.585,1.27423,1.26958,2.50778
0.586,1.48768,1.3285,2.50784
0.587,0.780943,1.18057,2.5079
0.588,0.564932,1.01426,2.50797
0.589,1.1982,1.06395,2.50803
0.59,1.53494,1.19119,2.50809
0.591,1.22654,1.20074,2.50816
0.592,0.981817,1.1416,2.50822
0.593,0.970721,1.09543,2.50829
0.594,0.857366,1.03112,2.50835
0.595,1.07575,1.04318,2.50841
0.596,0.97393,1.02447,2.50848
0.597,1.22423,1.07844,2.50854
0.598,1.27442,1.13138,2.5086
0.599,1.07304,1.11562,2.50867
0.6,0.963947,1.07464,2.50873
0.601,1.38294,1.15793,2.5088
0.602,0.953488,1.1027,2.50886
0.603,1.45734,1.19851,2.50892
0.604,1.00042,1.14499,2.50899
0.605,1.16729,1.15102,2.50905
0.606,0.727411,1.03658,2.50912
0.607,1.11637,1.05813,2.50918
0.608,1.43725,1.16055,2.50924
0.609,0.837819,1.07336,2.50931
0.61,1.76445,1.26006,2.50937
0.611,1.40915,1.30034,2.50943
0.612,0.41808,1.06199,2.5095
0.613,1.3234,1.13261,2.50956
0.614,0.914773,1.07376,2.50963
0.615,0.840111,1.01064,2.50969
0.616,1.33228,1.09753,2.50975
0.617,0.558206,0.95183,2.50982
0.618,0.985102,0.960819,2.50988
0.619,1.19715,1.02466,2.50994
0.62,1.59266,1.17811,2.51001
0.621,1.05492,1.14483,2.51007
0.622,1.25023,1.1733,2.51014
0.623,1.11219,1.15679,2.5102
0.624,1.31625,1.19987,2.51026
0.625,1.17617,1.19347,2.51033
0.626,0.937099,1.12421,2.51039
0.627,1.29489,1.17032,2.51045
0.628,0.90937,1.09982,2.51052
0.629,0.726234,0.998895,2.51058
0.63,1.31663,1.08473,2.51065
0.631,1.2728,1.13554,2.51071
0.632,1.42273,1.21313,2.51077
0.633,1.09522,1.18127,2.51084
0.634,1.03346,1.14134,2.5109
0.635,1.04016,1.11401,2.51097
0.636,1.32504,1.17102,2.51103
0.637,1.19833,1.1784,2.51109
0.638,0.914173,1.10702,2.51116
0.639,1.56935,1.23192,2.51122
0.64,1.04251,1.18075,2.51128
0.641,1.27058,1.20502,2.51135
0.642,1.35401,1.24527,2.51141
0.643,0.785562,1.12108,2.51148
0.644,1.04518,1.10057,2.51154
0.645,1.20771,1.12951,2.5116
0.646,1.27918,1.16995,2.51167
0.647,0.789807,1.06725,2.51173
0.648,0.982828,1.04444,2.51179
0.649,1.32767,1.12096,2.51186
0.65,1.48201,1.2185,2.51192
0.651,1.1589,1.2024,2.51199
0.652,0.81922,1.09888,2.51205
0.653,0.876022,1.03867,2.51211
0.654,1.11734,1.05992,2.51218
0.655,0.717381,0.967384,2.51224
0.656,1.15651,1.01848,2.5123
0.657,0.858022,0.97513,2.51237
0.658,1.49394,1.11529,2.51243
0.659,1.50748,1.22124,2.5125
0.66,1.27746,1.23643,2.51256
0.661,1.18107,1.22147,2.51262
0.662,0.952446,1.14879,2.51269
0.663,1.20828,1.16486,2.51275
0.664,1.38915,1.22546,2.51282
0.665,0.640955,1.06755,2.51288
0.666,1.0776,1.07027,2.51294
0.667,1.0963,1.0773,2.51301
0.668,0.995065,1.05508,2.51307
0.669,1.43145,1.15676,2.51313
